candidate_id,action_family,soft_target_count,soft_target_share,family_soft_target_count,family_soft_target_share,family_weight
A0_noop,noop,7871.669921875,0.2061186153934276,7871.669921875,0.2061186153934276,0.8776314854621887
DL1_deleverage_mild,deleveraging,1601.388671875,0.0419321464224928,2614.8133544921875,0.0684685350744223,1.5227382183074951
DL2_deleverage_moderate,deleveraging,1013.4246826171875,0.026536388651929498,2614.8133544921875,0.0684685350744223,1.5227382183074951
RF1_short_debt_refinance,refinance,1758.30615234375,0.04604100948792223,1758.30615234375,0.04604100948792223,1.8569421768188477
CX1_capex_discipline,capex_working_capital,7520.3193359375,0.1969185476810029,11377.123291015625,0.29790843914678256,0.730010986328125
WC1_working_capital_tightening,capex_working_capital,3856.803955078125,0.10098989146577965,11377.123291015625,0.29790843914678256,0.730010986328125
WC2_supplier_financing,liquidity_working_capital,2552.34033203125,0.06683268740589814,4116.033203125,0.10777777436829013,1.2136855125427246
OE1_cost_efficiency_mild,cost_efficiency,4849.62890625,0.12698687892772978,8231.4228515625,0.21553869734387274,0.8582388758659363
OE2_cost_efficiency_moderate,cost_efficiency,3381.7939453125,0.08855181841614297,8231.4228515625,0.21553869734387274,0.8582388758659363
MX1_cost_and_deleverage,mixed_restructuring,2220.6328125,0.0581469707384132,2220.6328125,0.0581469707384132,1.652369737625122
MX2_liquidity_rescue,liquidity_working_capital,1563.69287109375,0.040945086962391984,4116.033203125,0.10777777436829013,1.2136855125427246
