candidate_id,action_family,hard_count,hard_share,soft_target_count,soft_target_share,class_weight,family_weight,final_loss_weight,final_effective_count,mean_soft_top1_prob,mean_soft_top1_minus_top2,mean_soft_entropy,mean_projection_distance,median_projection_distance,mean_projection_margin,median_projection_margin,near_tie_flag_rate,out_of_library_rate,out_of_library_flag_rate,final_effective_share
A0_noop,noop,3455,0.09046870908614821,7871.66973556357,0.2061186079875676,0.8757365345954895,0.8776314854621887,0.8026484847068787,6318.183785363096,0.88826622567025,0.8219449706660382,0.2070092593441426,0.04415722191333771,0.0,0.014870749786496162,0.014870804734528065,1.0,0.017366136034732273,0.017366136034732273,0.16544077525932194
DL1_deleverage_mild,deleveraging,1916,0.05017020162346164,1601.3887232244015,0.041932147252919535,1.0962542295455933,1.5227382183074951,1.7433165311813354,2791.7274340444715,0.48940893138189157,0.22353758164419013,1.0435419352203454,0.48765823245048523,0.4868291914463043,-0.03385820612311363,-0.02710181474685669,0.9196242171189979,0.4697286012526096,0.4697286012526096,0.07310099970042137
DL2_deleverage_moderate,deleveraging,682,0.01785807803089814,1013.4246599376202,0.02653638773269255,1.3738172054290771,1.5227382183074951,2.184710741043091,2214.0397398036603,0.516618583121957,0.2674497525450771,1.0244061931200494,0.5224197506904602,0.5246427059173584,0.01687460020184517,0.0179528146982193,0.5615835777126099,0.5645161290322581,0.5645161290322581,0.057974326713418754
RF1_short_debt_refinance,refinance,2434,0.06373396177009688,1758.3061151355505,0.04604100794909939,1.0574922561645508,1.8569421768188477,2.050762176513672,3605.8676756526806,0.5104552345654959,0.26174793012238173,1.0286592443862106,0.5010837912559509,0.4983817934989929,0.018802203238010406,-0.000488966703414917,0.6384552177485621,0.4971240755957272,0.4971240755957272,0.09441915018751318
CX1_capex_discipline,capex_working_capital,11893,0.3114166012045038,7520.318994931273,0.19691853633728704,0.8758766651153564,0.730010986328125,0.6677471995353699,5021.671948478005,0.5035767243506479,0.24599946452238589,1.031669481514035,0.4432799816131592,0.4443689286708832,-0.015218324027955532,-0.005891621112823486,1.0,0.3762717564954175,0.3762717564954175,0.131491790754619
WC1_working_capital_tightening,capex_working_capital,5597,0.1465566902330453,3856.803857706487,0.1009898876778304,0.8942691683769226,0.730010986328125,0.6817691922187805,2629.4500506148283,0.5052188807712062,0.25296300495226764,1.0345498052484794,0.47207164764404297,0.46898356080055237,0.003022629301995039,0.01270487904548645,0.7091298910130427,0.41879578345542257,0.41879578345542257,0.06885178868762215
WC2_supplier_financing,liquidity_working_capital,2507,0.06564545692589684,2552.340597704053,0.06683269354303656,0.9492582678794861,1.2136855125427246,1.203179121017456,3070.922916882731,0.5064615607142782,0.25615263116587955,1.032863044258774,0.4782688617706299,0.47429195046424866,0.007835512980818748,0.013553857803344727,0.5580374950139609,0.43119266055045874,0.43119266055045874,0.08041169509941694
OE1_cost_efficiency_mild,cost_efficiency,4423,0.11581565854935848,4849.628473654346,0.1269868660432233,0.8822970390319824,0.8582388758659363,0.7907928824424744,3835.0516794562172,0.49750126924230154,0.2383953375687514,1.0403448265211752,0.41822779178619385,0.40507060289382935,-0.014764256775379181,-0.004012584686279297,1.0,0.27108297535609316,0.27108297535609316,0.10042030187197838
OE2_cost_efficiency_moderate,cost_efficiency,3503,0.09172558261324955,3381.7935525476933,0.08855180704587277,0.9061498641967773,0.8582388758659363,0.8121718764305115,2746.5976152732655,0.5363757666556658,0.30019805047160175,1.0106501204028016,0.454865962266922,0.45036250352859497,0.05413578450679779,0.0692681074142456,0.22038252926063373,0.3454182129603197,0.3454182129603197,0.0719192815898913
MX1_cost_and_deleverage,mixed_restructuring,1163,0.03045299816705944,2220.6328478455544,0.05814697095096353,0.9818600416183472,1.652369737625122,1.6943243741989136,3762.47236025147,0.506481928268795,0.25481664495076584,1.0343172659743611,0.4157668650150299,0.413466215133667,0.00225251168012619,0.013207972049713135,1.0,0.2596732588134136,0.2596732588134136,0.09851982235999515
MX2_liquidity_rescue,liquidity_working_capital,617,0.016156061796281748,1563.692910015583,0.04094508747950734,1.1069879531860352,1.2136855125427246,1.4031004905700684,2194.018289143802,0.4974726105238669,0.2382511184030066,1.0398591302182787,0.4445422887802124,0.4337744116783142,-0.01570163294672966,-0.013553857803344727,0.8833063209076175,0.3419773095623987,0.3419773095623987,0.05745006777580179
