seed,epoch,train_loss,val_loss,training_device,cuda_available,cuda_device_name
2,54,2.1152461608250936,2.097266435623169,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,55,2.1144270936648053,2.100172519683838,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,56,2.1149542649586994,2.1017980575561523,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,57,2.1162727952003477,2.1042749881744385,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,58,2.114550699790319,2.1023199558258057,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,59,2.11504776875178,2.1028549671173096,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,60,2.114827899138133,2.1010875701904297,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,61,2.11422518491745,2.100883722305298,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,62,2.115154830614726,2.1063191890716553,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,63,2.114643386999766,2.0991272926330566,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,64,2.113898988564809,2.0986313819885254,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,65,2.1148261467615765,2.0992085933685303,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,66,2.1134089211622875,2.1073813438415527,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,67,2.1169020970662435,2.102889060974121,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,68,2.1135547161102295,2.1002073287963867,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,69,2.114817984898885,2.102285623550415,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,70,2.1164817730585734,2.0990381240844727,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,71,2.114639480908712,2.0991694927215576,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,72,2.1155877153078717,2.095475196838379,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,73,2.1134171446164447,2.0973358154296875,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,74,2.1156663497289023,2.1077446937561035,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,75,2.115704091389974,2.1083483695983887,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,76,2.1154632806777953,2.1086182594299316,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,77,2.1175304929415386,2.109487771987915,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,78,2.116791049639384,2.100336790084839,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,79,2.1172930518786113,2.10162091255188,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
2,80,2.117885076999664,2.106032609939575,cuda,True,NVIDIA GeForce RTX 4060 Laptop GPU
