candidate_id,action_family,soft_target_count,soft_target_share,class_weight
A0_noop,noop,7871.669921875,0.2061186153934276,0.8757365345954895
DL1_deleverage_mild,deleveraging,1601.388671875,0.0419321464224928,1.0962542295455933
DL2_deleverage_moderate,deleveraging,1013.4246826171875,0.026536388651929498,1.3738172054290771
RF1_short_debt_refinance,refinance,1758.30615234375,0.04604100948792223,1.0574922561645508
CX1_capex_discipline,capex_working_capital,7520.3193359375,0.1969185476810029,0.8758766651153564
WC1_working_capital_tightening,capex_working_capital,3856.803955078125,0.10098989146577965,0.8942691683769226
WC2_supplier_financing,liquidity_working_capital,2552.34033203125,0.06683268740589814,0.9492582678794861
OE1_cost_efficiency_mild,cost_efficiency,4849.62890625,0.12698687892772978,0.8822970390319824
OE2_cost_efficiency_moderate,cost_efficiency,3381.7939453125,0.08855181841614297,0.9061498641967773
MX1_cost_and_deleverage,mixed_restructuring,2220.6328125,0.0581469707384132,0.9818600416183472
MX2_liquidity_rescue,liquidity_working_capital,1563.69287109375,0.040945086962391984,1.1069879531860352
