source_file,source_category,market,sheet_name,column_name,inferred_role,non_missing_count,non_missing_rate,sample_values,mapped_variable_candidate,notes
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,상장일,listing_date,2420,1.0,2001/08/31 | 2002/04/25 | 2005/10/19,list_age,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,상장폐지일,delisting_date,56,0.0231,2025/07/24 | 2025/07/24 | 2025/07/24,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,결산월,fiscal_month,2420,1.0,12 | 12 | 12,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,사업자등록번호,,2419,0.9996,134-81-71976  | 621-81-21761  | 214-86-39239 ,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,법인등록번호,,2322,0.9595,1350110115846.0 | 1801110031516.0 | 1101111777585.0,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,목적사업,,632,0.2612,6. 학술 연구 용역업 | 7. 컨텐츠 기획 및 개발업 | 8. 온라인 데이터 판매업,,
코스닥_전업종_폐지사 포함_일반사항.xlsx,general_info,KOSDAQ,Sheet1,통계청 한국표준산업분류 코드 11차(세세분류),,2420,1.0,212 | 46419 | 58221,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,회사명,firm_name,15209,1.0,(주)가이아코퍼레이션 | (주)가이아코퍼레이션 | (주)가이아코퍼레이션,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,거래소코드,firm_id,15209,1.0,296520 | 296520 | 296520,firm_key,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,회계년도,extraction_period,15209,1.0,2017/12 | 2018/12 | 2019/12,panel_key,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,산업코드,industry_code,15209,1.0,74604 | 74604 | 74604,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,산업명,industry_name,15209,1.0,    생활용품 도매업  |     생활용품 도매업  |     생활용품 도매업 ,sector_7 (텍스트 매핑 기반),
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,업종코드,sector_code,15209,1.0,1 | 1 | 1,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,영문기업명,,15209,1.0,"GAIA CORPORATION CO.,LTD. | GAIA CORPORATION CO.,LTD. | GAIA CORPORATION CO.,LTD.",,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,본사 주소,,15209,1.0,경기도 용인시 기흥구 동백죽전대로175번길 6 3층(중 | 경기도 용인시 기흥구 동백죽전대로175번길 6 3층(중 | 경기도 용인시 기흥구 동백죽전대로175번길 6 3층(중,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,종업원,employee_count,15209,1.0,102 | 102 | 102,log_emp,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,주거래은행,,15209,1.0,IBK기업은행 | IBK기업은행 | IBK기업은행,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,설립일,incorporation_date,15209,1.0,2010/08/22 | 2010/08/22 | 2010/08/22,firm_age,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,상장일,listing_date,15209,1.0,2023/06/20 | 2023/06/20 | 2023/06/20,list_age,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,상장폐지일,delisting_date,0,0.0,,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,결산월,fiscal_month,15209,1.0,12 | 12 | 12,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,사업자등록번호,,15209,1.0,128-86-52227  | 128-86-52227  | 128-86-52227 ,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,법인등록번호,,15209,1.0,2850110181903 | 2850110181903 | 2850110181903,,
코넥스_전업종_일반사항.xlsx,general_info,KONEX,Sheet1,목적사업,,14774,0.9714,1. 출판업 | 1. 위 각호 관련의 도소매업 | 1. 부동산 임대 및 전대업,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,회사명,firm_name,30744,1.0,(주)BNK금융지주 | (주)BNK금융지주 | (주)BNK금융지주,,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,거래소코드,firm_id,30744,1.0,138930 | 138930 | 138930,firm_key,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,회계년도,extraction_period,30744,1.0,2025/12 | 2025/12 | 2025/12,panel_key,
코스피_전업종_폐지사 포함_자본금 변동사항.xlsx,capital_change,KOSPI,Sheet1,변동일,event_date,30744,1.0,2016/01/23 | 2011/03/15 | 2015/06/04,"cap_change_count_3y, cap_change_cumulative",
