,AAA,AA,A,BBB,BB,B,CCC,C,D
AAA,0,7,3,0,0,0,0,0,0
AA,0,45,57,16,0,0,0,0,0
A,0,24,322,202,4,0,0,0,0
BBB,0,6,123,403,91,7,0,0,0
BB,0,3,12,116,149,45,0,0,0
B,0,0,1,12,73,59,0,0,0
CCC,0,0,0,0,3,5,0,0,0
C,0,0,0,0,1,0,0,0,0
D,0,0,0,1,0,0,0,0,0
