statement_type,item_code,item_name,original_column_name,is_summary_marker,indent_level,non_missing_count,non_missing_rate,sample_min,sample_p1,sample_median,sample_p99,sample_max,unit_inferred,candidate_role_hint
손익계산서,U01B450011200,"유형,리스자산처분이익(IFRS)(천원)         유형,리스자산처분이익(IFRS)(천원)(IFRS)(천원)","[[U01B450011200]      유형,리스자산처분이익(IFRS)(천원)][U01B450011200]      유형,리스자산처분이익(IFRS)(천원)(IFRS)(천원)",False,0,4400,0.9392,0.0,0.0,11999.0,18131554.220000062,648027000.0,천원,
손익계산서,U01B450011300,임대주택자산처분이익(IFRS)(천원)         임대주택자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011300]      임대주택자산처분이익(IFRS)(천원)][U01B450011300]      임대주택자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,0.0,0.0,천원,
손익계산서,U01B450011400,무형자산처분이익(IFRS)(천원)         무형자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011400]      무형자산처분이익(IFRS)(천원)][U01B450011400]      무형자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,970380.0000000083,559597000.0,천원,
손익계산서,U01B450011500,매각예정 처분자산집단 처분이익(IFRS)(천원)         매각예정 처분자산집단 처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011500]      매각예정 처분자산집단 처분이익(IFRS)(천원)][U01B450011500]      매각예정 처분자산집단 처분이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,6297581.040000056,1080959000.0,천원,
손익계산서,U01B450011560,당기손익-공정가치측정 금융자산처분이익(IFRS)(천원)         당기손익-공정가치측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011560]      당기손익-공정가치측정 금융자산처분이익(IFRS)(천원)][U01B450011560]      당기손익-공정가치측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,747713.710000001,11008959.0,천원,
손익계산서,U01B450011570,기타포괄손익-공정가치측정 금융자산처분이익(IFRS)(천원)         기타포괄손익-공정가치측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011570]      기타포괄손익-공정가치측정 금융자산처분이익(IFRS)(천원)][U01B450011570]      기타포괄손익-공정가치측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,451525.0,천원,
손익계산서,U01B450011580,상각후원가측정 금융자산처분이익(IFRS)(천원)         상각후원가측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011580]      상각후원가측정 금융자산처분이익(IFRS)(천원)][U01B450011580]      상각후원가측정 금융자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,2992,0.6386,0.0,0.0,0.0,0.0,373163.0,천원,
손익계산서,U01B450011600,기타자산처분이익(IFRS)(천원)         기타자산처분이익(IFRS)(천원)(IFRS)(천원),[[U01B450011600]      기타자산처분이익(IFRS)(천원)][U01B450011600]      기타자산처분이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,1940719.0100000156,92053000.0,천원,
손익계산서,U01B450011700,재고자산폐기(처분)이익(IFRS)(천원)      재고자산폐기(처분)이익(IFRS)(천원)(IFRS)(천원),[[U01B450011700]   재고자산폐기(처분)이익(IFRS)(천원)][U01B450011700]   재고자산폐기(처분)이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,1015.610000000057,8025546.0,천원,
손익계산서,U01B450011800,자산평가이익(IFRS)(천원)      자산평가이익(IFRS)(천원)(IFRS)(천원),[[U01B450011800]   자산평가이익(IFRS)(천원)][U01B450011800]   자산평가이익(IFRS)(천원)(IFRS)(천원),False,0,4400,0.9392,0.0,0.0,0.0,2095906.160000003,32715326.0,천원,
