ratio_id,category,sub_category,ratio_name_ko,ratio_name_en,formula_text,numerator_term_orig,numerator_item_code,numerator_item_name,numerator_statement_source,numerator_lag,numerator_is_average,numerator_is_growth,numerator_status,numerator_derived_formula,numerator_derived_components,denominator_term_orig,denominator_item_code,denominator_item_name,denominator_statement_source,denominator_lag,denominator_is_average,denominator_is_growth,denominator_status,denominator_derived_formula,denominator_derived_components,requires_lag,requires_average_denominator,requires_growth_base,unit_output,expected_good_direction,denominator_zero_policy,negative_denominator_policy,priority,availability_status,notes,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,duplicate_alias_source,duplicate_alias_policy_note,stage3_exclude,formula_item_code_fingerprint,is_canonical_ratio,canonical_ratio_id,n_valid,missing_rate,zero_denom_rate,inf_rate,p1,median,p99,same_value_rate,outlier_flag,quality_pass,fail_reasons,selected_eligible
R012,수익성,수익률/마진,매출총이익/총자산,,매출총이익 / 평균총자산,매출총이익,U01B201014400,매출총이익(손실)(IFRS)(천원)   매출총이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B201014400|U01A100000000,True,R012,4316,0.1235,0.0,0.0,-0.0649,0.126,0.9061,0.0002,False,True,,True
R013,수익성,수익률/마진,영업이익/총자산,,영업이익 / 평균총자산,영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B430000000|U01A100000000,True,R013,4316,0.1235,0.0,0.0,-0.2287,0.0318,0.2304,0.0002,False,True,,True
R014,수익성,수익률/마진,EBIT/총자산,,EBIT / 평균총자산,EBIT,U01B430000000,EBIT,DERIVED,0,False,False,derivable,영업이익,영업이익,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_derived,,R013,exact_value_alias,EBIT/총자산 maps to the same executable formula as 영업이익/총자산.,duplicate audit / exact-value or formula-equivalent review,Keep alias in Stage 2 audit outputs; exclude from Stage 3 final selection; canonicalize for simulator/evaluator.,True,U01B430000000|U01A100000000|영업이익,False,R013,4316,0.1235,0.0,0.0,-0.2287,0.0318,0.2304,0.0002,False,True,,False
R015,수익성,수익률/마진,EBITDA/총자산,,EBITDA / 평균총자산,EBITDA,U01B430000000+U01B350014100+U01B350014300,EBITDA,DERIVED,0,False,False,derivable,영업이익 + 감가상각비 + 무형자산상각비,영업이익|감가상각비|무형자산상각비,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_derived,,,,,,,False,U01B430000000+U01B350014100+U01B350014300|U01A100000000|영업이익|감가상각비|무형자산상각비,True,R015,4316,0.1235,0.0,0.0,-0.2176,0.0368,0.2453,0.0002,False,True,,True
R016,수익성,수익률/마진,세전이익/총자산,,법인세차감전순이익 / 평균총자산,법인세차감전순이익,U01B700000000,법인세비용차감전순이익(손실)(IFRS)(천원)   법인세비용차감전순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B700000000|U01A100000000,True,R016,4316,0.1235,0.0,0.0,-0.4806,0.0312,0.2751,0.0002,False,True,,True
R017,수익성,수익률/마진,당기순이익/총자산(ROA),,당기순이익 / 평균총자산,당기순이익,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,핵심,available_with_lag,,,,,,,False,U01B840000000|U01A100000000,True,R017,4316,0.1235,0.0,0.0,-0.4965,0.0268,0.246,0.0002,False,True,,True
R018,수익성,수익률/마진,총포괄이익/총자산,,총포괄이익 / 평균총자산,총포괄이익,U01B900000000,총포괄손익(IFRS)(천원)   총포괄손익(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B900000000|U01A100000000,True,R018,4316,0.1235,0.0,0.0,-0.4978,0.0267,0.2566,0.0023,False,True,,True
R019,수익성,수익률/마진,영업현금흐름/총자산,,영업활동현금흐름 / 평균총자산,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,평균총자산,U01A100000000,자산(IFRS)(천원)   자산(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01D100000000|U01A100000000,True,R019,4316,0.1235,0.0,0.0,-0.2238,0.043,0.2899,0.0002,False,True,,True
R021,수익성,수익률/마진,영업이익/자기자본,,영업이익 / 평균자기자본,영업이익,U01B430000000,* (정상)영업손익(계산수치)(IFRS)(천원)   * (정상)영업손익(계산수치)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B430000000|U01A600000000,True,R021,4316,0.1235,0.0,0.0,-0.681,0.0556,0.5272,0.0002,False,True,,True
R022,수익성,수익률/마진,당기순이익/자기자본(ROE),,당기순이익 / 평균자기자본,당기순이익,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B840000000|U01A600000000,True,R022,4316,0.1235,0.0,0.0,-1.5037,0.0449,0.5149,0.0002,False,True,,True
R023,수익성,수익률/마진,총포괄이익/자기자본,,총포괄이익 / 평균자기자본,총포괄이익,U01B900000000,총포괄손익(IFRS)(천원)   총포괄손익(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,평균자기자본,U01A600000000,자본(IFRS)(천원)   자본(IFRS)(천원)(IFRS)(천원),재무상태표,0,True,False,mapped,,,True,True,False,%,높을수록 우량,,compute_with_flag,확장,available_with_lag,,,,,,,False,U01B900000000|U01A600000000,True,R023,4316,0.1235,0.0,0.0,-1.4992,0.045,0.5817,0.0023,False,True,,True
R031,수익성,이익의 질/지속성,현금이익전환율,,영업활동현금흐름 / 당기순이익,영업활동현금흐름,U01D100000000,영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)   영업활동으로 인한 현금흐름(간접법)(IFRS)(천원)(IFRS)(천원),현금흐름표,0,False,False,mapped,,,당기순이익,U01B840000000,당기순이익(손실)(IFRS)(천원)   당기순이익(손실)(IFRS)(천원)(IFRS)(천원),손익계산서,0,False,False,mapped,,,False,False,False,% 또는 배,높을수록 우량,,compute_with_flag,확장,available_direct,,,,,,,False,U01D100000000|U01B840000000,True,R031,4400,0.1064,0.0,0.0,-24.609,0.8548,23.0474,0.0002,False,True,,True
