ratio_id,ratio_name_ko,category,required_items,all_items_found,missing_items,ambiguous_items,available_firm_year_count,available_firm_year_rate,eligible_for_direct_calculation,fallback_possible,fallback_source,decision,availability_status,requires_lag,requires_average_denominator,requires_growth_base,priority
R232,OCF/리스부채,IFRS16_리스,U01D100000000,True,,,4457,0.9392,False,False,,exclude_candidate,unknown,False,False,False,확장
R233,무형자산/총자산,무형자산_RD,U01A100000000,True,,num=무형자산,4457,0.9392,False,True,NICE_재무비율_panel_for_audit,use_precomputed_ratio_for_validation_only,ambiguous,False,False,False,확장
R234,R&D비용/매출액,무형자산_RD,U01B100000000,True,,,4457,0.9392,False,False,,exclude_candidate,unknown,False,False,False,확장
R235,영업권/총자산,무형자산_RD,U01A100000000,True,,,4457,0.9392,False,False,,exclude_candidate,unknown,False,False,False,확장
R236,매입채무회전율,활동성,U01A811030700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R237,매출채권회전율,활동성,U01A111045400|U01B100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R238,재고자산회전율,활동성,U01A111038700|U01B200000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R239,OCF성장률,성장성,U01D100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R240,총자산성장률,성장성,U01A100000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,False,확장
R241,이익잉여금증가율,성장성,U01A615000000,True,,,4457,0.9392,True,False,,use_direct,available_direct,False,False,True,확장
