거래소코드,year,시장
010950,2022,KOSPI
011040,2024,KOSDAQ
011200,2012,KOSPI
011200,2024,KOSPI
011230,2024,KOSPI
011370,2006,KOSDAQ
011370,2012,KOSDAQ
011370,2016,KOSDAQ
011370,2024,KOSDAQ
011420,2024,KOSPI
011560,2013,KOSDAQ
011560,2020,KOSDAQ
011760,2008,KOSPI
011760,2020,KOSPI
011760,2024,KOSPI
011930,2009,KOSPI
012030,2018,KOSPI
012330,2024,KOSPI
012340,2024,KOSDAQ
012450,2011,KOSPI
012510,2014,KOSPI
012510,2024,KOSPI
012700,2011,KOSDAQ
012700,2021,KOSDAQ
012750,2024,KOSPI
013030,2024,KOSDAQ
013120,2020,KOSDAQ
013120,2024,KOSDAQ
013360,2024,KOSPI
013700,2006,KOSPI
013700,2024,KOSPI
013720,2024,KOSDAQ
013810,2024,KOSDAQ
013870,2024,KOSPI
014190,2024,KOSDAQ
014200,2020,KOSDAQ
014200,2024,KOSDAQ
014280,2015,KOSPI
014530,2024,KOSPI
014580,2024,KOSPI
014680,2013,KOSPI
014790,2023,KOSPI
014820,2005,KOSPI
014830,2013,KOSPI
014830,2024,KOSPI
014970,2024,KOSDAQ
015230,2024,KOSPI
015360,2017,KOSPI
015590,2009,KOSPI
015710,2024,KOSDAQ
015750,2014,KOSDAQ
015750,2017,KOSDAQ
015890,2024,KOSPI
016100,2024,KOSDAQ
016360,2024,KOSPI
016380,2020,KOSPI
016420,2013,KOSPI
016450,2024,KOSPI
016610,2012,KOSPI
016610,2017,KOSPI
016610,2022,KOSPI
016610,2024,KOSPI
016740,2020,KOSPI
016740,2024,KOSPI
016800,2023,KOSPI
016880,2024,KOSPI
017000,2024,KOSDAQ
017250,2024,KOSDAQ
017370,2022,KOSPI
017390,2024,KOSPI
017480,2014,KOSDAQ
017480,2016,KOSDAQ
017480,2018,KOSDAQ
017480,2024,KOSDAQ
017550,2024,KOSPI
017670,2007,KOSPI
017800,2019,KOSPI
017890,2017,KOSDAQ
017890,2024,KOSDAQ
017960,2024,KOSPI
018000,2024,KOSDAQ
018260,2017,KOSPI
018260,2021,KOSPI
018290,2024,KOSDAQ
018310,2013,KOSDAQ
018310,2019,KOSDAQ
018310,2024,KOSDAQ
018680,2018,KOSDAQ
018880,2014,KOSPI
018880,2017,KOSPI
019180,2017,KOSPI
019180,2020,KOSPI
019540,2024,KOSDAQ
019550,2019,KOSDAQ
019550,2020,KOSDAQ
019550,2022,KOSDAQ
019550,2023,KOSDAQ
019550,2024,KOSDAQ
019770,2021,KOSDAQ
020180,2007,KOSDAQ
020560,2006,KOSPI
021320,2012,KOSDAQ
021650,2024,KOSDAQ
021820,2013,KOSPI
022100,2009,KOSPI
023350,2024,KOSPI
023410,2024,KOSDAQ
023460,2007,KOSDAQ
023460,2008,KOSDAQ
023460,2009,KOSDAQ
023460,2010,KOSDAQ
023460,2011,KOSDAQ
023760,2009,KOSDAQ
023760,2010,KOSDAQ
023760,2011,KOSDAQ
023760,2012,KOSDAQ
023760,2013,KOSDAQ
023760,2014,KOSDAQ
023760,2015,KOSDAQ
023760,2016,KOSDAQ
023760,2017,KOSDAQ
023760,2018,KOSDAQ
023760,2019,KOSDAQ
023760,2020,KOSDAQ
023760,2021,KOSDAQ
023760,2022,KOSDAQ
023760,2023,KOSDAQ
023760,2024,KOSDAQ
023790,2019,KOSDAQ
024110,2019,KOSPI
024660,2013,KOSDAQ
024800,2007,KOSDAQ
024810,2023,KOSDAQ
025540,2024,KOSPI
025620,2024,KOSPI
025750,2020,KOSPI
025900,2024,KOSDAQ
026150,2023,KOSDAQ
026960,2024,KOSPI
027050,2020,KOSDAQ
027050,2024,KOSDAQ
027390,2019,KOSPI
027410,2021,KOSPI
027580,2018,KOSDAQ
027740,2020,KOSPI
027840,2009,KOSPI
028050,2024,KOSPI
028100,2024,KOSPI
028260,2014,KOSPI
028300,2015,KOSDAQ
028670,2008,KOSPI
028670,2013,KOSPI
028670,2021,KOSPI
028670,2024,KOSPI
029460,2020,KOSPI
029460,2024,KOSPI
029960,2014,KOSDAQ
029960,2016,KOSDAQ
029960,2024,KOSDAQ
030210,2024,KOSPI
030530,2013,KOSDAQ
030530,2016,KOSDAQ
030530,2024,KOSDAQ
030610,2010,KOSPI
030610,2024,KOSPI
030790,2011,KOSPI
030790,2013,KOSPI
030960,2016,KOSDAQ
030960,2019,KOSDAQ
030960,2024,KOSDAQ
031210,2024,KOSPI
031310,2024,KOSDAQ
031330,2011,KOSDAQ
031430,2018,KOSPI
031820,2024,KOSPI
032080,2024,KOSDAQ
032280,2020,KOSDAQ
032560,2024,KOSPI
032620,2024,KOSDAQ
032680,2015,KOSDAQ
032680,2018,KOSDAQ
032790,2024,KOSDAQ
032830,2014,KOSPI
032940,2005,KOSDAQ
032940,2024,KOSDAQ
033050,2024,KOSDAQ
033100,2011,KOSDAQ
033100,2024,KOSDAQ
033160,2024,KOSDAQ
033200,2024,KOSDAQ
033240,2007,KOSPI
033240,2022,KOSPI
033250,2013,KOSPI
033250,2024,KOSPI
033320,2024,KOSDAQ
033500,2024,KOSDAQ
033530,2020,KOSPI
033530,2024,KOSPI
033540,2024,KOSDAQ
033640,2024,KOSDAQ
033780,2024,KOSPI
034230,2024,KOSPI
034300,2019,KOSPI
034590,2009,KOSPI
034590,2011,KOSPI
034590,2013,KOSPI
034830,2020,KOSPI
034830,2021,KOSPI
034830,2024,KOSPI
035000,2024,KOSPI
035150,2024,KOSPI
035290,2005,KOSDAQ
035420,2008,KOSPI
035510,2005,KOSPI
035720,2017,KOSPI
035760,2024,KOSDAQ
035890,2008,KOSDAQ
035890,2019,KOSDAQ
035890,2024,KOSDAQ
035900,2011,KOSDAQ
035900,2014,KOSDAQ
036000,2012,KOSDAQ
036000,2024,KOSDAQ
036010,2019,KOSDAQ
036010,2024,KOSDAQ
036030,2015,KOSDAQ
036090,2024,KOSDAQ
036170,2003,KOSDAQ
036170,2024,KOSDAQ
036190,2024,KOSDAQ
036200,2024,KOSDAQ
036210,2011,KOSDAQ
036210,2013,KOSDAQ
036420,2020,KOSPI
036480,2024,KOSDAQ
036530,2013,KOSPI
036540,2024,KOSDAQ
036550,2008,KOSDAQ
036550,2010,KOSDAQ
036620,2020,KOSDAQ
036630,2024,KOSDAQ
036830,2005,KOSDAQ
036830,2007,KOSDAQ
036930,2024,KOSDAQ
037030,2019,KOSDAQ
037030,2024,KOSDAQ
037070,2024,KOSDAQ
037330,2008,KOSDAQ
037330,2011,KOSDAQ
037330,2015,KOSDAQ
037330,2019,KOSDAQ
037330,2021,KOSDAQ
037460,2012,KOSDAQ
037620,2008,KOSPI
037620,2014,KOSPI
038070,2015,KOSDAQ
038070,2024,KOSDAQ
038110,2016,KOSDAQ
038110,2020,KOSDAQ
038110,2024,KOSDAQ
038290,2022,KOSDAQ
038290,2024,KOSDAQ
038320,2009,KOSDAQ
038320,2011,KOSDAQ
038540,2024,KOSDAQ
038680,2018,KOSDAQ
038680,2024,KOSDAQ
038870,2016,KOSDAQ
039010,2005,KOSDAQ
039010,2024,KOSDAQ
039020,2023,KOSDAQ
039130,2011,KOSPI
039130,2024,KOSPI
039290,2017,KOSDAQ
039290,2020,KOSDAQ
039290,2023,KOSDAQ
039310,2019,KOSDAQ
039310,2024,KOSDAQ
039420,2023,KOSDAQ
039490,2024,KOSPI
039560,2019,KOSDAQ
039610,2017,KOSDAQ
039670,2012,KOSDAQ
039790,2014,KOSDAQ
039830,2020,KOSDAQ
040160,2024,KOSDAQ
040740,2005,KOSDAQ
040910,2012,KOSDAQ
040910,2024,KOSDAQ
041830,2024,KOSDAQ
042000,2024,KOSDAQ
042370,2012,KOSDAQ
042370,2018,KOSDAQ
042370,2023,KOSDAQ
042420,2024,KOSDAQ
042510,2024,KOSDAQ
042520,2024,KOSDAQ
042660,2013,KOSPI
042660,2024,KOSPI
043100,2008,KOSDAQ
043220,2024,KOSDAQ
043290,2020,KOSDAQ
043370,2003,KOSDAQ
043910,2024,KOSDAQ
044060,2018,KOSDAQ
044180,2012,KOSDAQ
044180,2024,KOSDAQ
044340,2005,KOSDAQ
044340,2011,KOSDAQ
044340,2017,KOSDAQ
044340,2024,KOSDAQ
044380,2019,KOSPI
044380,2024,KOSPI
044490,2020,KOSDAQ
044640,2009,KOSDAQ
044780,2008,KOSDAQ
045050,2006,KOSDAQ
045060,2024,KOSDAQ
045100,2008,KOSDAQ
045290,2005,KOSDAQ
045300,2024,KOSDAQ
045660,2013,KOSDAQ
045660,2018,KOSDAQ
045660,2024,KOSDAQ
046070,2020,KOSDAQ
046120,2011,KOSDAQ
046120,2018,KOSDAQ
046140,2022,KOSDAQ
046840,2012,KOSDAQ
046940,2024,KOSDAQ
046970,2015,KOSDAQ
046970,2020,KOSDAQ
046970,2024,KOSDAQ
047040,2014,KOSPI
047040,2021,KOSPI
047050,2012,KOSPI
047050,2023,KOSPI
047400,2024,KOSPI
047440,2008,KOSDAQ
047440,2017,KOSDAQ
047810,2016,KOSPI
048140,2009,KOSDAQ
048410,2009,KOSDAQ
048410,2011,KOSDAQ
048410,2014,KOSDAQ
048410,2017,KOSDAQ
048410,2020,KOSDAQ
048410,2023,KOSDAQ
048430,2024,KOSDAQ
048510,2003,KOSDAQ
048510,2009,KOSDAQ
048830,2024,KOSDAQ
048870,2023,KOSDAQ
049070,2006,KOSDAQ
049070,2013,KOSDAQ
049070,2019,KOSDAQ
049070,2023,KOSDAQ
049120,2020,KOSDAQ
049180,2024,KOSDAQ
049480,2024,KOSDAQ
049960,2020,KOSDAQ
050760,2024,KOSDAQ
050890,2023,KOSDAQ
051310,2015,KOSPI
051360,2023,KOSDAQ
051490,2024,KOSDAQ
051600,2024,KOSPI
051910,2013,KOSPI
051910,2017,KOSPI
051910,2021,KOSPI
052900,2020,KOSDAQ
052900,2024,KOSDAQ
053040,2010,KOSDAQ
053060,2024,KOSDAQ
053080,2024,KOSDAQ
053210,2017,KOSPI
053210,2022,KOSPI
053260,2024,KOSDAQ
053300,2019,KOSDAQ
053350,2023,KOSDAQ
053580,2024,KOSDAQ
053690,2015,KOSPI
053690,2017,KOSPI
053690,2022,KOSPI
053700,2024,KOSDAQ
053810,2015,KOSDAQ
054050,2023,KOSDAQ
054090,2005,KOSDAQ
054090,2011,KOSDAQ
054090,2015,KOSDAQ
054090,2024,KOSDAQ
054180,2020,KOSDAQ
054220,2019,KOSDAQ
054450,2020,KOSDAQ
054540,2024,KOSDAQ
054650,2008,KOSDAQ
054930,2024,KOSDAQ
055490,2024,KOSPI
056190,2019,KOSDAQ
056190,2024,KOSDAQ
056340,2008,KOSDAQ
056360,2005,KOSDAQ
056700,2014,KOSDAQ
056730,2019,KOSDAQ
057680,2020,KOSDAQ
058470,2011,KOSDAQ
058470,2013,KOSDAQ
058470,2019,KOSDAQ
058470,2021,KOSDAQ
058730,2020,KOSPI
058730,2024,KOSPI
059090,2021,KOSDAQ
059120,2024,KOSDAQ
060150,2024,KOSDAQ
060250,2024,KOSDAQ
060310,2019,KOSDAQ
060310,2024,KOSDAQ
060370,2023,KOSDAQ
060560,2021,KOSDAQ
060720,2005,KOSDAQ
060720,2007,KOSDAQ
060720,2015,KOSDAQ
060850,2020,KOSDAQ
060850,2024,KOSDAQ
061040,2017,KOSDAQ
061040,2024,KOSDAQ
062040,2024,KOSPI
062860,2023,KOSDAQ
062970,2024,KOSDAQ
063080,2024,KOSDAQ
064240,2024,KOSDAQ
064420,2009,KOSPI
064480,2024,KOSDAQ
064510,2018,KOSDAQ
065370,2020,KOSDAQ
065370,2024,KOSDAQ
065450,2005,KOSDAQ
065650,2023,KOSDAQ
065680,2013,KOSDAQ
065680,2015,KOSDAQ
065680,2020,KOSDAQ
065690,2017,KOSDAQ
065690,2024,KOSDAQ
065770,2023,KOSDAQ
066130,2017,KOSDAQ
066570,2005,KOSPI
066700,2020,KOSDAQ
066700,2024,KOSDAQ
066830,2024,KONEX
066980,2023,KOSDAQ
067250,2013,KOSPI
