거래소코드,시장,산업코드,산업명,업종코드,회사명,stage00_01_context_source
212310,KONEX,,,,(주)오건에코텍,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
122830,KONEX,,,,(주)원포유,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
121060,KONEX,,,,(주)유니포인트,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
495810,KONEX,,,,(주)유비씨,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
337840,KONEX,,,,(주)유엑스엔,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
279060,KONEX,,,,(주)이노벡스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
278990,KONEX,,,,(주)이엠비,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
232530,KONEX,,,,(주)이엠티,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
311960,KONEX,,,,(주)인터로이드,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
066830,KONEX,,,,(주)제노텍,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
254160,KONEX,,,,(주)제이엠멀티,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
299480,KONEX,,,,(주)지앤이헬스케어,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
250030,KONEX,,,,(주)진코스텍,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
233990,KONEX,,,,(주)질경이,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
368030,KONEX,,,,(주)창대정밀,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
112190,KONEX,,,,(주)케이씨산업,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
402420,KONEX,,,,(주)켈스,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
176590,KONEX,,,,(주)코나솔,data\raw\raw_nonfinancial\konex_optional\코넥스_전업종_회사의 연혁.xlsx
