spearman_rho,abs_spearman,spearman_na,iv,iv_n_bins,iv_outlier_flag,iv_na,kw_H,kw_pvalue,kw_eta2,kw_na,monotonicity,monotonicity_n_bins,monotonicity_direction_consistent,monotonicity_na,direction_weak,direction,variable_id,variable_name,source,category,is_main_pool,appendix_pool,selected_eligible,duplicate_alias_of,duplicate_alias_type,duplicate_alias_reason,stage3_exclude,n_dev,missing_rate_dev,abs_spearman_norm,iv_norm,kw_eta2_norm,monotonicity_norm,selection_score_default,selection_score_equal,selection_score_rho_heavy,selection_score_iv_heavy,selection_score_mono_heavy,rank_default_within_category,available_in_dev_all
-0.3480859479161636,0.3480859479161636,False,0.6245996757553576,10,False,False,259.1951749093523,1.9329200266213064e-51,0.128620161243908,False,0.8888888888888888,10.0,True,False,False,value_up_good,R225,R225,financial,CF_품질,True,False,True,,,,False,1962,0.1909278350515464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
-0.21423475482063936,0.21423475482063936,False,0.19985545650369743,10,False,False,114.15276079385603,5.32452489729392e-21,0.05249889257856381,False,0.8888888888888888,10.0,True,False,False,value_up_good,R221,R221,financial,CF_품질,True,False,True,,,,False,2031,0.1624742268041237,0.30450459567071664,0.0,0.24194695573907082,1.0,0.3397407698490292,0.38661288785244685,0.3385443411962189,0.24719296249500394,0.5092903102819575,2.0,True
-0.1556314870206144,0.1556314870206144,False,0.23125119116560586,10,False,False,65.05537916646335,4.705914318385382e-11,0.02820335104620037,False,0.4444444444444444,10.0,True,False,False,value_up_good,R220,R220,financial,CF_품질,True,False,True,,,,False,2032,0.1620618556701031,0.0,0.0739168027224086,0.0,0.0,0.02217504081672258,0.01847920068060215,0.014783360544481719,0.0369584013612043,0.014783360544481719,3.0,True
0.24716545429294223,0.24716545429294223,False,0.33248963868238196,10,False,False,160.2580734489854,1.4124684242676836e-30,0.06302072576530854,False,0.75,10.0,True,False,False,value_down_good,cap_change_count_3y,cap_change_count_3y,nonfinancial,경영위험,True,False,True,,,,,2425,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
-0.149141404459911,0.149141404459911,False,0.29185431983212995,10,False,False,84.79150424732217,5.2802090289702644e-15,0.03695452562431288,False,0.5555555555555556,10.0,True,False,False,value_up_good,firm_age,firm_age,nonfinancial,경영위험,True,False,True,,,,,2087,0.13938144329896907,0.4876612368077779,0.8777847062805172,0.5863868620290549,0.0,0.5269111553322996,0.4879582012793375,0.5073455889643507,0.6243826298061724,0.39036656102347,2.0,True
-0.05583882262784212,0.05583882262784212,False,0.24497780880024375,10,False,False,29.89544051004015,0.00022056499466827515,0.010807226312951702,False,0.5555555555555556,10.0,True,False,False,value_up_good,list_age,list_age,nonfinancial,경영위험,True,False,True,,,,,2035,0.16082474226804125,0.0,0.7367983248171658,0.17148685899299548,0.0,0.2553368692437488,0.22707129595254033,0.1730826938123825,0.39412219125753223,0.18165703676203226,3.0,True
0.06419695155733182,0.06419695155733182,False,0.09702023047224333,10,False,False,29.34150030287439,0.0002761776622375659,0.00883340244324271,False,0.625,10.0,True,False,False,value_down_good,cap_change_cumulative,cap_change_cumulative,nonfinancial,경영위험,True,False,True,,,,,2425,0.0,0.04368513079830855,0.29179925984076766,0.14016662512168807,0.35714285714285704,0.20010721364463185,0.20819846822590532,0.15479883970698957,0.2292330784197273,0.23798734600929566,4.0,True
,,False,0.0,1,False,False,,,0.0,False,,,False,True,False,value_down_good,ma_count_3y,ma_count_3y,nonfinancial,경영위험,True,False,True,,,,,2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True
,,False,0.0,1,False,False,,,0.0,False,,,False,True,False,value_down_good,ma_cumulative,ma_cumulative,nonfinancial,경영위험,True,False,True,,,,,2425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,True
-0.49261389492450613,0.49261389492450613,False,1.3692142049556528,10,False,False,546.9258959161762,5.941114944973607e-113,0.2663993553713179,False,0.8888888888888888,10.0,True,False,False,value_up_good,R211,R211,financial,기타/복합,False,True,False,R064,exact_value_alias,Altman 이익잉여금/총자산 duplicates 이익잉여금/총자산.,True,2032,0.1620618556701031,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True
-0.29084974256791185,0.29084974256791185,False,0.42027387036474306,10,False,False,189.8311001109505,8.838096940063019e-37,0.08988190811218512,False,0.7777777777777778,10.0,True,False,False,value_up_good,R212,R212,financial,기타/복합,False,True,False,,,,False,2032,0.1620618556701031,0.4403448747658511,0.25086565265739447,0.26850171778231535,0.8,0.42106350178343677,0.4399280613013903,0.43062082558175174,0.37377705894921476,0.5119424490411123,2.0,True
-0.24520065302428642,0.24520065302428642,False,0.2575556741387907,10,False,False,155.10660823877788,1.6849343000214712e-29,0.07271705795293024,False,0.8888888888888888,10.0,True,False,False,value_up_good,R214,R214,financial,기타/복합,False,True,False,,,,False,2032,0.1620618556701031,0.3137230411697129,0.1224089043381809,0.1973696081751204,1.0,0.37031350528739226,0.40837538842075355,0.36094874267876065,0.3035545016293011,0.5267003107366028,3.0,True
-0.21423475482063936,0.21423475482063936,False,0.19985545650369743,10,False,False,114.15276079385603,5.32452489729392e-21,0.05249889257856381,False,0.8888888888888888,10.0,True,False,False,value_up_good,R216,R216,financial,기타/복합,False,True,False,R010,exact_value_alias,OCF/매출액 duplicates 영업현금흐름마진.,True,2031,0.1624742268041237,0.22782956884207722,0.07685786882631557,0.11358438767376901,1.0,0.31412310883527167,0.35456795633554045,0.29632401633736705,0.25103250633263857,0.4836543650684324,4.0,True
-0.20637947607453544,0.20637947607453544,False,0.19131826730334617,10,False,False,107.01556058884489,1.5614719063424181e-19,0.048944913785884774,False,0.7777777777777778,10.0,True,False,False,value_up_good,R215,R215,financial,기타/복합,False,True,False,,,,False,2032,0.1620618556701031,0.2060405297137087,0.07011824418753088,0.09885649860529455,0.8,0.2626189318914308,0.29375381812663354,0.2518723884851547,0.21109570282730136,0.3950030545013069,5.0,True
-0.19921854488173463,0.19921854488173463,False,0.1839238773590819,10,False,False,92.52630654591121,1.426184556727114e-16,0.04180331678828448,False,0.6666666666666666,10.0,True,False,False,value_up_good,R217,R217,financial,기타/복합,False,True,False,,,,False,2031,0.1624742268041237,0.18617747774589924,0.06428079447339138,0.06926131684195018,0.6,0.20898974503417722,0.2299298972653102,0.20633409529392044,0.16976509031216808,0.30394391781224817,6.0,True
-0.185016461139377,0.185016461139377,False,0.18999328456595707,10,False,False,77.76491629024986,1.3759083056732472e-13,0.034485870632847186,False,0.6666666666666666,10.0,True,False,False,value_up_good,R210,R210,financial,기타/복합,False,True,False,R076,exact_value_alias,Altman 운전자본/총자산 duplicates 순운전자본/총자산.,True,2032,0.1620618556701031,0.14678361683166014,0.06907224578064251,0.038937406225540344,0.6,0.19254424002879886,0.21369831720946075,0.1830468685057896,0.15973345719048432,0.2909586537675686,7.0,True
-0.1320987432546629,0.1320987432546629,False,0.1024983776049601,10,False,False,62.73734343876549,1.349738516186387e-10,0.02705751035035368,False,0.7777777777777778,10.0,True,False,False,value_up_good,R213,R213,financial,기타/복합,False,True,False,,,,False,2032,0.1620618556701031,0.0,0.0,0.00815386119522361,0.8,0.16163077223904476,0.20203846529880592,0.12122307917928354,0.12122307917928354,0.3216307722390448,8.0,True
-0.16155974706834939,0.16155974706834939,False,0.357941333332816,10,False,False,86.60777631558173,2.26572839034102e-15,0.03887624941423429,False,0.3333333333333333,10.0,True,False,False,value_up_good,R219,R219,financial,기타/복합,False,True,False,,,,False,2031,0.1624742268041237,0.08171918344410288,0.2016576648150904,0.05713138413954778,0.0,0.09643933130566754,0.08512705809968527,0.0897608323060017,0.12574237671729796,0.06810164647974822,9.0,True
-0.14520773779045582,0.14520773779045582,False,0.2131868031058758,10,False,False,58.756881051751925,8.167534266475237e-10,0.025089906599976237,False,0.4444444444444444,10.0,True,False,False,value_up_good,R218,R218,financial,기타/복합,False,True,False,,,,False,2032,0.1620618556701031,0.036361840757799906,0.08738220768301129,0.0,0.19999999999999998,0.07712321453224336,0.08093601211020279,0.06565736191550221,0.08096347199306562,0.10474880968816225,10.0,True
-0.4296499212113788,0.4296499212113788,False,0.7813559810233253,10,False,False,381.64885185696767,1.5725367632992789e-77,0.1913204566599937,False,0.8888888888888888,10.0,True,False,False,value_up_good,R082,R082,financial,부채상환능력,True,False,True,,,,False,1962,0.1909278350515464,1.0,1.0,1.0,0.8333333333333333,0.9666666666666667,0.9583333333333333,0.975,0.975,0.9333333333333333,1.0,True
0.40122068453168275,0.40122068453168275,False,0.7042304530548031,10,False,False,351.7530838666603,3.825512351722581e-71,0.17000647075502487,False,1.0,10.0,True,False,False,value_down_good,R085,R085,financial,부채상환능력,True,False,True,,,,False,2031,0.1624742268041237,0.9332781518061493,0.8782806398053026,0.8884913951915722,1.0,0.9211659165217501,0.9250125467007559,0.925568913142871,0.909069659542617,0.9400100373606048,2.0,True
0.40122068453168275,0.40122068453168275,False,0.7042304530548031,10,False,False,351.7530838666603,3.825512351722581e-71,0.17000647075502487,False,1.0,10.0,True,False,False,value_down_good,R086,R086,financial,부채상환능력,True,False,False,R085,exact_value_alias,이자비용/매출액 uses the same numerator item code as 금융비용부담률.,True,2031,0.1624742268041237,0.9332781518061493,0.8782806398053026,0.8884913951915722,1.0,0.9211659165217501,0.9250125467007559,0.925568913142871,0.909069659542617,0.9400100373606048,2.0,True
-0.40807105799365656,0.40807105799365656,False,0.7222870920455096,10,False,False,340.0886484355333,1.1800700015649513e-68,0.17004027057630994,False,0.7777777777777778,10.0,True,False,False,value_up_good,R079,R079,financial,부채상환능력,True,False,True,,,,False,1962,0.1909278350515464,0.9493555999399373,0.9067775928000676,0.8886682260729979,0.6666666666666666,0.8679069363699343,0.8528670213699173,0.8893335524409319,0.8765601502989709,0.8156269504292673,4.0,True
-0.40807105799365656,0.40807105799365656,False,0.7222870920455096,10,False,False,340.0886484355333,1.1800700015649513e-68,0.17004027057630994,False,0.7777777777777778,10.0,True,False,False,value_up_good,R080,R080,financial,부채상환능력,True,False,False,R079,exact_value_alias,EBIT 이자보상배율 duplicates 이자보상배율 under current EBIT mapping.,True,1962,0.1909278350515464,0.9493555999399373,0.9067775928000676,0.8886682260729979,0.6666666666666666,0.8679069363699343,0.8528670213699173,0.8893335524409319,0.8765601502989709,0.8156269504292673,4.0,True
-0.41363752860981384,0.41363752860981384,False,0.7190551811782576,10,False,False,347.7814168831246,2.6941178338261547e-70,0.17397922011424713,False,0.6666666666666666,10.0,True,False,False,value_up_good,R081,R081,financial,부채상환능력,True,False,True,,,,False,1962,0.1909278350515464,0.9624197990111714,0.9016769972731398,0.909275669905631,0.49999999999999994,0.8410841728664196,0.8183431165474855,0.8729366494460582,0.8547138089246488,0.7546744932379884,6.0,True
-0.3480859479161636,0.3480859479161636,False,0.6245996757553576,10,False,False,259.1951749093523,1.9329200266213064e-51,0.128620161243908,False,0.8888888888888888,10.0,True,False,False,value_up_good,R083,R083,financial,부채상환능력,True,False,True,,,,False,1962,0.1909278350515464,0.8085738598751281,0.7526074999254581,0.6719702033164028,0.8333333333333333,0.769415115270123,0.7666212241125805,0.780603960420116,0.763814052435215,0.7799636459567312,7.0,True
-0.3157463412298345,0.3157463412298345,False,0.407477048378201,10,False,False,222.25096333016336,1.287900954512336e-43,0.1059075448987461,False,0.8888888888888888,10.0,True,False,False,value_up_good,R094,R094,financial,부채상환능력,True,False,True,,,,False,2032,0.1620618556701031,0.732674589265617,0.40994498617352015,0.5531443688858906,0.8333333333333333,0.6200814130755858,0.6322743194145902,0.6562979472003961,0.559479066272767,0.6724861221983389,8.0,True
-0.30693680407562374,0.30693680407562374,False,0.4241044646326794,10,False,False,214.84425213041595,4.725822688907102e-42,0.10224629368779829,False,0.8888888888888888,10.0,True,False,False,value_up_good,R091,R091,financial,부채상환능력,True,False,True,,,,False,2032,0.1620618556701031,0.7119990921608659,0.43618634258941474,0.533989762318811,0.8333333333333333,0.6179202495555131,0.6288771326006062,0.6483352789461375,0.5655914540747021,0.6697683727471517,9.0,True
0.30842697197712143,0.30842697197712143,False,0.24756331764639705,10,False,False,209.63550571517564,5.941139572207786e-41,0.09967153025960239,False,1.0,10.0,True,False,False,value_down_good,R109,R109,financial,부채상환능력,True,False,True,,,,False,2032,0.1620618556701031,0.7154964339160206,0.1575694432927436,0.5205193453414328,1.0,0.5660236322309158,0.5983963056375492,0.617340007417774,0.4499619102307909,0.6787170445100394,10.0,True
0.04062787405082085,0.04062787405082085,False,0.6089068156022291,10,False,False,12.715656690943556,0.12201467723769992,0.0023310215971050698,False,0.7777777777777778,10.0,True,False,False,value_down_good,R090,R090,financial,부채상환능력,True,False,True,,,,False,2032,0.1620618556701031,0.08698674300863067,0.7278410581548002,0.011261979746227604,0.6666666666666666,0.38003406963160813,0.3731891118940812,0.2907508800972095,0.48300717464106036,0.43188462284859835,11.0,True
0.03739035071072053,0.03739035071072053,False,0.6018003281641886,10,False,False,30.30038299425565,0.00018702845072930753,0.01102887388439943,False,0.6666666666666666,10.0,True,False,False,value_down_good,R088,R088,financial,부채상환능력,True,False,False,R089,exact_value_alias,이자비용/EBITDA uses the same numerator item code as 금융비용/EBITDA; keep financial-cost wording.,True,2031,0.1624742268041237,0.07938845455453027,0.7166256133212427,0.056766625273833145,0.49999999999999994,0.3501575454174985,0.3381951732874015,0.26653434373258866,0.4577054913626024,0.3705561386299212,12.0,True
0.03739035071072053,0.03739035071072053,False,0.6018003281641886,10,False,False,30.30038299425565,0.00018702845072930753,0.01102887388439943,False,0.6666666666666666,10.0,True,False,False,value_down_good,R089,R089,financial,부채상환능력,True,False,True,,,,False,2031,0.1624742268041237,0.07938845455453027,0.7166256133212427,0.056766625273833145,0.49999999999999994,0.3501575454174985,0.3381951732874015,0.26653434373258866,0.4577054913626024,0.3705561386299212,12.0,True
