거래소코드,회사명,시장,sector_7,year,split_stage4,grade_base,rating_num,grade_base_10,rating_num_10,grade_base_7,rating_num_7,grade_base_notch,rating_num_notch,R006,R064,R085,R133,R157,R182,industry_avg_rating_lag1_self_excl,cap_change_count_3y,log_assets,operating_loss_freq_3y,ratio_missing_rate,R006_iso_score,R064_iso_score,R085_iso_score,R133_iso_score,R157_iso_score,R182_iso_score,industry_avg_rating_lag1_self_excl_iso_score,cap_change_count_3y_iso_score,log_assets_iso_score,operating_loss_freq_3y_iso_score,ratio_missing_rate_iso_score,R006_imputed,R064_imputed,R085_imputed,R133_imputed,R157_imputed,R182_imputed,industry_avg_rating_lag1_self_excl_imputed,cap_change_count_3y_imputed,log_assets_imputed,operating_loss_freq_3y_imputed,ratio_missing_rate_imputed,fin_raw_alpha,nonfin_raw_alpha,fin_score_alpha,nonfin_score_alpha,R_score_alpha,R_grade_alpha_raw,R_grade_alpha,R_grade_alpha_num,R_PD_alpha,specification
000020,동화약품(주),KOSPI,UNKNOWN,2007,dev,BBB,4,BBB,4,BBB,4,BBB,9,0.0908963840548665,0.34324110817940406,0.004200354873528714,0.6791815301623683,,,3.6923076923076925,0,19.103516862753573,0.0,0.25899280575539574,96.70329670329674,64.53014497878354,100.0,75.30224525043184,40.22902939685758,100.0,62.514404531719215,100.0,49.05460702695078,100.0,0.0,False,False,False,False,True,True,False,False,False,False,False,76.93275633882993,71.11651587816776,83.81699234427484,68.73364131908284,79.29198703671723,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2008,dev,BBB,4,BBB,4,BBB,4,BBB,9,0.18770667319218146,0.39055666256112037,0.0025566901574272825,0.05893035419321592,6.2696225082317545,0.29123069934998247,3.0,0,19.211058813119415,0.0,0.0,97.25986374185824,72.13811063218391,100.0,43.09613052585159,15.691109254211128,100.0,100.0,100.0,52.22487741462183,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,71.09608678876637,85.69635101614813,75.51735373075739,89.25875074990105,79.63977283650048,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2009,dev,BBB,4,BBB,4,BBB,4,BBB,9,0.08252506441900462,0.36642899676820156,0.009053526056851408,-0.048555251814721714,5.195400492705898,1.4227549985945225,3.125,1,19.548825077222485,0.0,0.0,88.27899106536887,72.13811063218391,100.0,35.87019565385507,15.691109254211128,100.0,75.9568204121688,93.8186956665736,54.520349130198134,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,68.11916663281727,79.26213217701147,71.2842270711533,80.20082625862277,73.95920682739413,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2019,dev,A,3,A,3,A,3,A+,5,0.05451143604982146,0.6557329390695797,0.0031125831648147087,0.16733438779012197,10.996557861079276,-0.019424137711934717,3.3815789473684212,0,19.74633853474694,0.0,0.0,88.27899106536887,91.6299261083744,100.0,43.09613052585159,31.87597787522862,97.90451534302893,64.47893608875323,100.0,57.68916702196082,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,76.27718039494387,79.35340038985225,82.88477520035401,80.32931125439838,82.11813601656732,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2020,oot,A,3,A,3,A,3,A-,7,0.12485904958578783,0.6668957952115122,0.001682350566274558,0.4082605839732106,9.57482398885558,0.42129869010411164,3.402173913043478,0,19.82021204149186,0.0,0.0,96.70329670329674,91.6299261083744,100.0,61.909800773553194,31.87597787522862,100.0,64.47893608875323,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,80.41744165655516,80.30542373212134,88.77215188703748,81.66954474098038,86.64136974322035,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2021,oot,A,3,A,3,A,3,A-,7,0.07905755102504439,0.690087320624246,0.0011887116946001897,0.16235927803002606,9.74575230018327,0.0863290624463416,3.411764705882353,0,19.846839524463753,0.0,0.0,88.27899106536887,91.6299261083744,100.0,43.09613052585159,31.87597787522862,100.0,64.47893608875323,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,76.50447978959198,80.30542373212134,83.20799083154049,81.66954474098038,82.74645700437244,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2022,oot,A,3,A,3,A,3,A-,7,0.06630792303606761,0.7135326096289387,0.017145622312369647,0.1604304403750846,11.310823669502536,0.05383956200181309,3.3636363636363638,0,19.879002800485672,0.0,0.0,88.27899106536887,91.6299261083744,72.0634100436082,43.09613052585159,40.22902939685758,100.0,64.47893608875323,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,74.96300448720109,80.30542373212134,81.01604081076749,81.66954474098038,81.21209198983135,A,A,3,0.0023,alpha
000020,동화약품(주),KOSPI,UNKNOWN,2023,oot,A,3,A,3,A,3,A-,7,0.10413988834525167,0.682371705802198,0.00692894694008627,0.06069426879067897,11.998475304020877,0.3294932980388857,3.538961038961039,0,19.97643508651258,0.0,0.0,96.70329670329674,91.6299261083744,100.0,43.09613052585159,40.22902939685758,100.0,62.514404531719215,100.0,60.86898721556283,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,80.28782967726858,79.86414003027764,88.58784599498135,81.0483171218296,86.32598733303581,A,A,3,0.0023,alpha
000100,(주)유한양행,KOSPI,UNKNOWN,2009,dev,AA,2,AA,2,AA,2,AA-,4,0.21202528790001043,0.6785064650991519,0.005712011276576856,1.1173271017829478,12.47048376671342,-0.0076606532178988855,3.176470588235294,29,20.832629636758554,0.0,0.0,97.25986374185824,91.6299261083744,100.0,82.58491652274039,40.22902939685758,97.90451534302893,75.9568204121688,0.0,76.59626853422327,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,83.87979617379872,59.75413112703054,93.69555743510185,52.73797413868857,81.40828244617786,A,A,3,0.0023,alpha
000100,(주)유한양행,KOSPI,UNKNOWN,2010,dev,AA,2,AA,2,AA,2,AA-,4,0.23111909434322303,0.701729521294241,0.0043193901189973625,1.0603041706535452,12.23999170961523,0.13729534568889953,3.259259259259259,17,20.94999529042157,0.0,0.0,97.25986374185824,91.6299261083744,100.0,82.58491652274039,40.22902939685758,100.0,75.9568204121688,0.0,79.90668848577694,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,84.10709556844685,60.745255428000014,94.01877306628833,54.13325292918384,82.05311702515698,A,A,3,0.0023,alpha
000100,(주)유한양행,KOSPI,UNKNOWN,2011,dev,AA,2,AA,2,AA,2,AA-,4,0.1393750172076826,0.7550680960797646,0.0001744545603841985,0.5100706446220634,12.002050327268858,0.02583308834244295,3.3793103448275863,5,20.95526036891112,0.0,0.0,97.25986374185824,91.6299261083744,100.0,65.67830263605755,40.22902939685758,100.0,64.47893608875323,40.09640647601868,79.90668848577694,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,82.53306218907477,69.32914550634999,91.78052604847325,66.21742819816797,84.11159669338166,A,A,3,0.0023,alpha
000100,(주)유한양행,KOSPI,UNKNOWN,2013,dev,AA,2,AA,2,AA,2,AA-,4,0.09665549960390821,0.7663963063191633,5.084411034114181e-05,0.4074378538049633,16.36024386907272,-0.0012213667792966433,3.1578947368421053,1,21.05261158392643,0.0,0.0,96.70329670329674,91.6299261083744,100.0,61.909800773553194,40.22902939685758,97.90451534302893,75.9568204121688,93.8186956665736,88.60369300047589,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,81.81211372545923,89.46652644193752,90.75535036298075,94.56630481038053,91.89863669720069,AA,AA,2,0.0001,alpha
000100,(주)유한양행,KOSPI,UNKNOWN,2014,dev,AA,2,AA,2,AA,2,AA-,4,0.10446537351014946,0.7671570948490956,0.00022440839787596644,0.37830035751886143,17.704860592933333,-0.050328792093948575,3.2280701754385963,0,21.09877806778233,0.0,0.0,96.70329670329674,91.6299261083744,100.0,61.909800773553194,40.22902939685758,97.90451534302893,75.9568204121688,100.0,88.60369300047589,100.0,100.0,False,False,False,False,False,False,False,False,False,False,False,81.81211372545923,91.18728979551742,90.75535036298075,96.98875031833856,92.62537034958808,AA,AA,2,0.0001,alpha
